Ep:    93 | Reward:    -5.1 | Avg Reward:    -6.0 | Epsilon: 0.627 | Loss 0.0064 | Steps 4650
Ep:    94 | Reward:    -5.7 | Avg Reward:    -6.0 | Epsilon: 0.624 | Loss 0.0055 | Steps 4700
Ep:    95 | Reward:    -5.7 | Avg Reward:    -6.0 | Epsilon: 0.621 | Loss 0.0076 | Steps 4750
Ep:    96 | Reward:    -5.1 | Avg Reward:    -6.0 | Epsilon: 0.618 | Loss 0.0069 | Steps 4800
Ep:    97 | Reward:    -6.9 | Avg Reward:    -6.0 | Epsilon: 0.615 | Loss 0.0059 | Steps 4850
Ep:    98 | Reward:     1.5 | Avg Reward:    -5.9 | Epsilon: 0.612 | Loss 0.0056 | Steps 4900
Ep:    99 | Reward:     3.9 | Avg Reward:    -5.8 | Epsilon: 0.609 | Loss 0.0044 | Steps 4950
Ep:   100 | Reward:    -6.9 | Avg Reward:    -5.8 | Epsilon: 0.606 | Loss 0.0086 | Steps 5000
Ep:   101 | Reward:    -0.3 | Avg Reward:    -5.8 | Epsilon: 0.603 | Loss 0.0054 | Steps 5050
Ep:   102 | Reward:    -4.5 | Avg Reward:    -5.7 | Epsilon: 0.600 | Loss 0.0058 | Steps 5100
Ep:   103 | Reward:    -3.3 | Avg Reward:    -5.7 | Epsilon: 0.597 | Loss 0.0041 | Steps 5150
Ep:   104 | Reward:    -5.1 | Avg Reward:    -5.7 | Epsilon: 0.594 | Loss 0.0028 | Steps 5200
Ep:   105 | Reward:    -2.7 | Avg Reward:    -5.6 | Epsilon: 0.591 | Loss 0.0059 | Steps 5250
Ep:   106 | Reward:    -7.5 | Avg Reward:    -5.6 | Epsilon: 0.588 | Loss 0.0048 | Steps 5300
Ep:   107 | Reward:    -3.9 | Avg Reward:    -5.6 | Epsilon: 0.585 | Loss 0.0106 | Steps 5350
Ep:   108 | Reward:    -1.5 | Avg Reward:    -5.5 | Epsilon: 0.582 | Loss 0.0038 | Steps 5400
Ep:   109 | Reward:     3.9 | Avg Reward:    -5.4 | Epsilon: 0.579 | Loss 0.0034 | Steps 5450
Ep:   110 | Reward:    -3.3 | Avg Reward:    -5.4 | Epsilon: 0.576 | Loss 0.0045 | Steps 5500
Ep:     1 | Reward:    -7.5 | Avg Reward:    -7.5 | Epsilon: 0.995 | Loss 0.0000 | Steps 50
Ep:     2 | Reward:    -6.9 | Avg Reward:    -7.2 | Epsilon: 0.990 | Loss 0.0148 | Steps 100
Ep:     3 | Reward:    -8.7 | Avg Reward:    -7.7 | Epsilon: 0.985 | Loss 0.0057 | Steps 150
